"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-06-13 ~ 2026-06-12"
"실거래구분 : 단독다가구(전월세)"
"주소구분 : 지번주소"
"시도 : 강원특별자치도"
"시군구 : 춘천시"
"읍면동 : 효자동"
"면적 : 전체"
"금액선택 : 30 ~ 1000 만원"
"NO","시군구","번지","도로조건","계약면적(㎡)","전월세구분","계약년월","계약일","보증금(만원)","월세금(만원)","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)","주택유형"
"11","강원특별자치도 춘천시 효자동","6**","12m미만","65.00","월세","202605","27","500","60","1995","백령로138번길","202607~202707","신규","-","","","단독다가구"
"12","강원특별자치도 춘천시 효자동","1**","8m미만","166.99","월세","202605","26","500","60","2018","도화길","202605~202705","신규","-","","","단독다가구"
"13","강원특별자치도 춘천시 효자동","7**","25m이상","27.00","월세","202605","26","500","40","2015","춘천로","202605~202705","신규","-","","","단독다가구"
"14","강원특별자치도 춘천시 효자동","1**","12m미만","144.89","월세","202605","25","100","20","","효제길","202605~202805","신규","-","","","단독다가구"
"15","강원특별자치도 춘천시 효자동","1**","8m미만","25.00","월세","202605","25","200","30","2000","공지로280번길","202605~202705","신규","-","","","단독다가구"
"16","강원특별자치도 춘천시 효자동","6**","12m미만","58.00","월세","202605","21","300","45","1993","춘천로204번길","202606~202706","신규","-","","","단독다가구"
"17","강원특별자치도 춘천시 효자동","3**","8m미만","40.00","월세","202605","20","100","37","2014","공지로264번길","202605~202705","신규","-","","","단독다가구"
"18","강원특별자치도 춘천시 효자동","1**","8m미만","39.18","월세","202605","19","300","42","2015","효자로150번길","202605~202702","신규","-","","","단독다가구"
"19","강원특별자치도 춘천시 효자동","6**","8m미만","26.00","월세","202605","19","300","45","2017","춘천로64번길","202605~202705","신규","-","","","단독다가구"
"20","강원특별자치도 춘천시 효자동","1**","8m미만","33.00","월세","202605","18","500","50","2018","법원뒷길8번길","202606~202703","신규","-","","","단독다가구"
"21","강원특별자치도 춘천시 효자동","5**","8m미만","101.02","월세","202605","15","1,000","50","1997","효명길","202606~202806","신규","-","","","단독다가구"
"22","강원특별자치도 춘천시 효자동","7**","12m미만","26.00","월세","202605","15","300","37","2016","성심로","202606~202706","신규","-","","","단독다가구"
"23","강원특별자치도 춘천시 효자동","4**","8m미만","20.00","월세","202605","15","100","25","1994","명주길","202605~202805","신규","-","","","단독다가구"
"24","강원특별자치도 춘천시 효자동","6**","12m미만","27.00","월세","202605","14","500","43","2016","두하길","202607~202702","신규","-","","","단독다가구"
"25","강원특별자치도 춘천시 효자동","6**","8m미만","40.00","월세","202605","14","300","40","1989","백령로138번길","202606~202712","신규","-","","","단독다가구"
"26","강원특별자치도 춘천시 효자동","6**","25m미만","30.00","월세","202605","13","200","25","1971","효자로","202605~202705","신규","-","","","단독다가구"
"27","강원특별자치도 춘천시 효자동","1**","8m미만","84.22","월세","202605","12","500","50","1995","도화길","202605~202805","신규","-","","","단독다가구"
"28","강원특별자치도 춘천시 효자동","6**","12m미만","27.00","월세","202605","12","300","45","2018","두하길","202606~202706","신규","-","","","단독다가구"
"29","강원특별자치도 춘천시 효자동","2**","8m미만","26.00","월세","202605","11","300","48","","공지로","202607~202706","신규","-","","","단독다가구"
"30","강원특별자치도 춘천시 효자동","4**","8m미만","63.65","월세","202605","10","1,000","50","1995","효명1길","202605~202805","신규","-","","","단독다가구"
"31","강원특별자치도 춘천시 효자동","7**","12m미만","19.80","월세","202605","07","100","45","2013","남춘로61번길","202605~202705","신규","-","","","단독다가구"
"32","강원특별자치도 춘천시 효자동","1**","8m미만","74.38","월세","202605","06","500","60","1968","미려골길25번길","202605~202805","신규","-","","","단독다가구"
"33","강원특별자치도 춘천시 효자동","1**","12m미만","90.00","월세","202605","05","300","35","2016","효제길","202605~202711","신규","-","","","단독다가구"
"34","강원특별자치도 춘천시 효자동","6**","12m미만","49.83","월세","202605","01","500","35","1995","공지로317번길","202606~202805","신규","-","","","단독다가구"
"35","강원특별자치도 춘천시 효자동","2**","8m미만","28.00","월세","202605","01","1,000","35","2017","공지로","202605~202705","신규","-","","","단독다가구"
"36","강원특별자치도 춘천시 효자동","1**","8m미만","33.00","월세","202604","30","300","35","2002","돌담길","202604~202704","신규","-","","","단독다가구"
"37","강원특별자치도 춘천시 효자동","1**","25m미만","24.00","월세","202604","30","200","30","1996","백령로","202605~202706","신규","-","","","단독다가구"
"38","강원특별자치도 춘천시 효자동","6**","25m미만","28.00","월세","202604","30","200","30","1989","후만로","202604~202612","신규","-","","","단독다가구"
"39","강원특별자치도 춘천시 효자동","1**","12m미만","30.00","월세","202604","29","500","45","2016","효제길","202604~202710","신규","-","","","단독다가구"
"40","강원특별자치도 춘천시 효자동","1*","8m미만","35.00","월세","202604","29","500","45","2014","으뜸길4번길","202605~202705","신규","-","","","단독다가구"
"41","강원특별자치도 춘천시 효자동","6**","8m미만","33.00","월세","202604","28","300","38","2002","백령로147번길","202605~202702","신규","-","","","단독다가구"
"42","강원특별자치도 춘천시 효자동","6**","8m미만","27.00","월세","202604","27","300","37","2002","서부대성로205번길","202604~202802","신규","-","","","단독다가구"
"43","강원특별자치도 춘천시 효자동","1**","8m미만","33.00","월세","202604","27","300","40","1990","백령로","202605~202804","신규","-","","","단독다가구"
"44","강원특별자치도 춘천시 효자동","3**","12m미만","48.29","월세","202604","25","200","36","1994","공지로242번길","202604~202804","신규","-","","","단독다가구"
"45","강원특별자치도 춘천시 효자동","7**","8m미만","23.00","월세","202604","25","200","30","2002","백령로115번길","202604~202612","신규","-","","","단독다가구"
"46","강원특별자치도 춘천시 효자동","7**","12m미만","30.00","월세","202604","25","500","53","2018","효평길","202605~202705","신규","-","","","단독다가구"
"47","강원특별자치도 춘천시 효자동","7**","12m미만","33.00","월세","202604","24","300","30","2005","성심로47번길","202604~202704","신규","-","","","단독다가구"
"48","강원특별자치도 춘천시 효자동","1**","12m미만","26.00","월세","202604","24","300","38","2015","둥지길","202604~202704","신규","-","","","단독다가구"
"49","강원특별자치도 춘천시 효자동","4**","8m미만","27.00","월세","202604","22","300","38","2015","명주길","202604~202704","신규","-","","","단독다가구"
"50","강원특별자치도 춘천시 효자동","1**","8m미만","26.00","월세","202604","22","300","35","2013","성심로66번길","202605~202705","신규","-","","","단독다가구"
"51","강원특별자치도 춘천시 효자동","6**","8m미만","30.00","월세","202604","21","200","30","1983","백령로138번길","202604~202701","신규","-","","","단독다가구"
"52","강원특별자치도 춘천시 효자동","6**","12m미만","37.40","월세","202604","21","300","49","2016","춘천로68번길","202604~202704","신규","-","","","단독다가구"
"53","강원특별자치도 춘천시 효자동","1**","8m미만","26.00","월세","202604","21","300","43","2017","백령로67번길","202604~202702","신규","-","","","단독다가구"
"54","강원특별자치도 춘천시 효자동","4**","8m미만","63.18","월세","202604","20","1,000","55","1987","효명길","202604~202804","신규","-","","","단독다가구"
"55","강원특별자치도 춘천시 효자동","7**","12m미만","94.91","월세","202604","19","1,000","60","1994","전원길","202605~202805","신규","-","","","단독다가구"
"56","강원특별자치도 춘천시 효자동","3**","8m미만","20.00","월세","202604","18","300","32","1999","공지로264번길","202604~202701","신규","-","","","단독다가구"
"57","강원특별자치도 춘천시 효자동","1**","8m미만","30.00","월세","202604","18","300","44","2018","법원뒷길","202604~202702","신규","-","","","단독다가구"
"58","강원특별자치도 춘천시 효자동","7**","12m미만","28.00","월세","202604","18","300","43","2014","효평길","202604~202704","신규","-","","","단독다가구"
"59","강원특별자치도 춘천시 효자동","7**","12m미만","33.00","월세","202604","16","200","30","2002","효평길","202604~202704","신규","-","","","단독다가구"
"60","강원특별자치도 춘천시 효자동","6**","8m미만","26.00","월세","202604","15","300","40","2015","효자로150번길","202605~202705","신규","-","","","단독다가구"
"61","강원특별자치도 춘천시 효자동","1**","8m미만","30.00","월세","202604","15","100","25","2002","둥지길47번길","202604~202612","신규","-","","","단독다가구"
"62","강원특별자치도 춘천시 효자동","1**","8m미만","23.00","월세","202604","14","300","40","2014","백령로67번길","202604~202702","신규","-","","","단독다가구"
"63","강원특별자치도 춘천시 효자동","6**","12m미만","29.00","월세","202604","14","300","45","2016","닥나무길9번길","202604~202704","신규","-","","","단독다가구"
"64","강원특별자치도 춘천시 효자동","6**","8m미만","45.00","월세","202604","13","500","30","1989","서부대성로173번길","202604~202804","신규","-","","","단독다가구"
"65","강원특별자치도 춘천시 효자동","7**","12m미만","30.00","월세","202604","13","500","42","2018","전원길","202604~202704","신규","-","","","단독다가구"
"66","강원특별자치도 춘천시 효자동","6**","8m미만","45.00","월세","202604","10","500","55","2017","효자로150번길","202604~202804","신규","-","","","단독다가구"
"67","강원특별자치도 춘천시 효자동","5**","8m미만","48.75","월세","202604","09","500","38","1981","명주길","202605~202805","신규","-","","","단독다가구"
"68","강원특별자치도 춘천시 효자동","4*","8m미만","28.00","월세","202604","09","300","40","2014","두하길25번길","202605~202705","신규","-","","","단독다가구"
"69","강원특별자치도 춘천시 효자동","6**","12m미만","53.81","월세","202604","09","500","60","2018","두하길","202605~202705","신규","-","","","단독다가구"
"70","강원특별자치도 춘천시 효자동","6**","12m미만","20.00","월세","202604","07","300","25","2014","공지로333번길","202604~202704","신규","-","","","단독다가구"
"71","강원특별자치도 춘천시 효자동","7**","25m미만","25.00","월세","202604","06","300","45","2015","성심로","202605~202610","신규","-","","","단독다가구"
"72","강원특별자치도 춘천시 효자동","6**","12m미만","73.34","월세","202604","06","1,000","60","2004","공지로333번길","202604~202704","신규","-","","","단독다가구"
"73","강원특별자치도 춘천시 효자동","5**","8m미만","45.00","월세","202604","05","500","65","2017","춘천로64번길","202604~202704","신규","-","","","단독다가구"
"74","강원특별자치도 춘천시 효자동","5**","8m미만","26.00","월세","202604","04","300","45","2017","춘천로64번길","202604~202704","신규","-","","","단독다가구"
"75","강원특별자치도 춘천시 효자동","6**","12m미만","43.00","월세","202604","03","300","57","2015","공지로333번길","202604~202704","신규","-","","","단독다가구"
"76","강원특별자치도 춘천시 효자동","1**","8m미만","61.91","월세","202604","03","500","50","2009","청운길","202604~202704","신규","-","","","단독다가구"
"77","강원특별자치도 춘천시 효자동","1**","8m미만","27.00","월세","202604","03","300","30","2016","백령로67번길","202604~202702","신규","-","","","단독다가구"
"78","강원특별자치도 춘천시 효자동","4**","12m미만","21.15","월세","202604","02","100","17","","효자문길","202604~202806","신규","-","","","단독다가구"
"79","강원특별자치도 춘천시 효자동","1**","8m미만","28.82","월세","202604","02","100","20","2020","미려골길25번길","202604~202806","신규","-","","","단독다가구"
"80","강원특별자치도 춘천시 효자동","1**","8m미만","20.13","월세","202604","02","100","17","","백령로67번길","202604~202806","신규","-","","","단독다가구"
"81","강원특별자치도 춘천시 효자동","1**","8m미만","20.10","월세","202604","02","100","16","2020","백령로67번길","202604~202806","신규","-","","","단독다가구"
"82","강원특별자치도 춘천시 효자동","4**","12m미만","20.88","월세","202604","02","100","16","2018","효자문길","202604~202806","신규","-","","","단독다가구"
"83","강원특별자치도 춘천시 효자동","1**","8m미만","71.82","월세","202604","01","200","50","1994","청운길","202604~202803","신규","-","","","단독다가구"
"84","강원특별자치도 춘천시 효자동","5**","8m미만","45.00","월세","202604","01","500","65","2017","춘천로64번길","202604~202704","신규","-","","","단독다가구"
"85","강원특별자치도 춘천시 효자동","6**","8m미만","30.00","월세","202604","01","300","47","2017","서부대성로184번길","202604~202704","신규","-","","","단독다가구"
"86","강원특별자치도 춘천시 효자동","7**","8m미만","33.00","월세","202603","31","300","30","1971","춘천로310번길","202603~202702","신규","-","","","단독다가구"
"87","강원특별자치도 춘천시 효자동","1**","8m미만","66.53","월세","202603","30","1,000","45","1974","효평길20번길","202604~202804","신규","-","","","단독다가구"
"88","강원특별자치도 춘천시 효자동","1**","8m미만","47.00","월세","202603","30","500","55","2017","도화길6번길","202604~202702","신규","-","","","단독다가구"
"89","강원특별자치도 춘천시 효자동","7**","25m이상","23.00","월세","202603","29","100","28","2004","춘천로","202604~202804","신규","-","","","단독다가구"
"90","강원특별자치도 춘천시 효자동","4**","8m미만","70.00","월세","202603","29","1,000","63","2017","새마을길","202604~202704","신규","-","","","단독다가구"
"91","강원특별자치도 춘천시 효자동","3**","12m미만","78.61","월세","202603","28","500","50","1993","공지로242번길","202604~202804","신규","-","","","단독다가구"
"92","강원특별자치도 춘천시 효자동","3**","12m미만","78.61","월세","202603","28","500","50","1993","공지로242번길","202604~202804","신규","-","","","단독다가구"
"93","강원특별자치도 춘천시 효자동","7**","8m미만","23.00","월세","202603","28","200","30","2004","백령로115번길","-","-","-","","","단독다가구"
"94","강원특별자치도 춘천시 효자동","1*","8m미만","28.00","월세","202603","28","300","45","2017","백령로165번길","202603~202703","신규","-","","","단독다가구"
"95","강원특별자치도 춘천시 효자동","7**","25m미만","70.48","월세","202603","28","700","40","1989","성심로35번길","202604~202704","신규","-","","","단독다가구"
"96","강원특별자치도 춘천시 효자동","7**","8m미만","26.00","월세","202603","27","300","36","1997","서부대성로206번길","202603~202702","신규","-","","","단독다가구"
"97","강원특별자치도 춘천시 효자동","6**","8m미만","26.00","월세","202603","27","300","41","2017","효자로150번길","202604~202704","신규","-","","","단독다가구"
"98","강원특별자치도 춘천시 효자동","1**","8m미만","43.00","월세","202603","27","500","51","2015","성심로66번길","202603~202703","신규","-","","","단독다가구"
"99","강원특별자치도 춘천시 효자동","6**","8m미만","30.00","월세","202603","26","300","46","2015","서부대성로173번길","202603~202703","신규","-","","","단독다가구"
"100","강원특별자치도 춘천시 효자동","6**","12m미만","30.00","월세","202603","26","200","28","2004","닥나무길9번길","202603~202803","신규","-","","","단독다가구"
"101","강원특별자치도 춘천시 효자동","6**","8m미만","21.00","월세","202603","26","200","30","2004","서부대성로205번길","202603~202609","신규","-","","","단독다가구"
"102","강원특별자치도 춘천시 효자동","2*","25m미만","21.00","월세","202603","26","200","30","1988","백령로","202603~202702","신규","-","","","단독다가구"
"103","강원특별자치도 춘천시 효자동","1**","8m미만","26.00","월세","202603","24","300","37","2002","청운길","202603~202702","신규","-","","","단독다가구"
"104","강원특별자치도 춘천시 효자동","7**","8m미만","30.00","월세","202603","24","300","45","2023","백령로107번길","202603~202701","신규","-","","","단독다가구"
"105","강원특별자치도 춘천시 효자동","6**","12m미만","28.00","월세","202603","24","300","40","2018","두하길","202603~202702","신규","-","","","단독다가구"
"106","강원특별자치도 춘천시 효자동","3*","8m미만","20.00","월세","202603","24","500","35","2016","서부대성로173번길","202603~202703","신규","-","","","단독다가구"
"107","강원특별자치도 춘천시 효자동","7**","12m미만","88.19","월세","202603","24","500","55","1992","춘천로223번길","202603~202803","신규","-","","","단독다가구"
"108","강원특별자치도 춘천시 효자동","1**","12m미만","48.01","월세","202603","23","500","55","2016","둥지길","202603~202703","신규","-","","","단독다가구"
"109","강원특별자치도 춘천시 효자동","1**","8m미만","26.00","월세","202603","23","300","37","2002","청운길","202603~202702","신규","-","","","단독다가구"
"110","강원특별자치도 춘천시 효자동","6**","8m미만","33.00","월세","202603","21","300","37","","백령로147번길","202603~202703","신규","-","","","단독다가구"
"111","강원특별자치도 춘천시 효자동","7**","12m미만","28.00","월세","202603","21","300","43","2014","효평길","202603~202703","신규","-","","","단독다가구"
"112","강원특별자치도 춘천시 효자동","1**","8m미만","28.00","월세","202603","21","300","37","","청운길","202603~202702","신규","-","","","단독다가구"
"113","강원특별자치도 춘천시 효자동","4*","8m미만","20.00","월세","202603","20","100","30","2002","두하길25번길","202603~202703","신규","-","","","단독다가구"
"114","강원특별자치도 춘천시 효자동","1**","8m미만","30.00","월세","202603","20","300","30","2020","백령로67번길","202603~202702","신규","-","","","단독다가구"
"115","강원특별자치도 춘천시 효자동","7**","12m미만","29.00","월세","202603","20","200","40","2003","효평길","202603~202803","신규","-","","","단독다가구"
"116","강원특별자치도 춘천시 효자동","6**","12m미만","28.00","월세","202603","20","500","43","2016","두하길","202605~202705","신규","-","","","단독다가구"
"117","강원특별자치도 춘천시 효자동","6**","12m미만","28.00","월세","202603","19","300","37","2012","춘천로68번길","202604~202804","신규","-","","","단독다가구"
"118","강원특별자치도 춘천시 효자동","1**","8m미만","24.00","월세","202603","19","50","40","2002","청운길","202603~202606","신규","-","","","단독다가구"
"119","강원특별자치도 춘천시 효자동","1**","8m미만","40.00","월세","202603","18","500","55","2013","도화길6번길","202604~202704","신규","-","","","단독다가구"
"120","강원특별자치도 춘천시 효자동","7**","12m미만","18.00","월세","202603","18","500","45","1996","둥지길","202604~202702","신규","-","","","단독다가구"
"121","강원특별자치도 춘천시 효자동","1**","8m미만","47.00","월세","202603","18","500","55","2017","도화길6번길","202604~202704","신규","-","","","단독다가구"
"122","강원특별자치도 춘천시 효자동","1**","8m미만","28.00","월세","202603","17","300","37","2002","청운길","202603~202702","신규","-","","","단독다가구"
"123","강원특별자치도 춘천시 효자동","1**","12m미만","26.00","월세","202603","16","100","30","2001","효제길","-","-","-","","","단독다가구"
"124","강원특별자치도 춘천시 효자동","7**","12m미만","49.50","월세","202603","16","500","75","2013","남춘로61번길","202604~202609","신규","-","","","단독다가구"
"125","강원특별자치도 춘천시 효자동","4**","8m미만","37.29","월세","202603","14","300","40","2016","효자로92번길","202603~202703","신규","-","","","단독다가구"
"126","강원특별자치도 춘천시 효자동","6**","12m미만","28.00","월세","202603","14","300","37","","춘천로68번길","202603~202803","신규","-","","","단독다가구"
"127","강원특별자치도 춘천시 효자동","7**","8m미만","16.00","월세","202603","13","200","30","1992","백령로107번길","202603~202702","신규","-","","","단독다가구"
"128","강원특별자치도 춘천시 효자동","1**","8m미만","30.00","월세","202603","13","300","35","2011","효자로102번길","202603~202703","신규","-","","","단독다가구"
"129","강원특별자치도 춘천시 효자동","1**","8m미만","30.00","월세","202603","13","300","40","2002","청운길","202603~202702","신규","-","","","단독다가구"
"130","강원특별자치도 춘천시 효자동","6**","12m미만","26.00","월세","202603","12","100","27","1997","효자로150번길","202603~202803","신규","-","","","단독다가구"
"131","강원특별자치도 춘천시 효자동","6**","12m미만","28.00","월세","202603","12","300","37","","춘천로68번길","202603~202803","신규","-","","","단독다가구"
"132","강원특별자치도 춘천시 효자동","1**","8m미만","45.20","월세","202603","10","300","30","1986","법원뒷길8번길","202603~202803","신규","-","","","단독다가구"
"133","강원특별자치도 춘천시 효자동","7**","12m미만","22.00","월세","202603","10","100","20","1995","삭주로80번길","202603~202803","신규","-","","","단독다가구"
"134","강원특별자치도 춘천시 효자동","7**","12m미만","73.26","월세","202603","10","300","50","1992","효평길","202603~202803","신규","-","","","단독다가구"
"135","강원특별자치도 춘천시 효자동","1**","8m미만","247.90","월세","202603","10","100","37","1994","효제길23번길","202603~202803","신규","-","","","단독다가구"
"136","강원특별자치도 춘천시 효자동","1**","8m미만","53.24","월세","202603","10","500","35","1981","백령로61번길","202603~202803","신규","-","","","단독다가구"
"137","강원특별자치도 춘천시 효자동","1**","8m미만","26.00","월세","202603","09","300","40","2002","청운길","202603~202702","신규","-","","","단독다가구"
"138","강원특별자치도 춘천시 효자동","1**","8m미만","26.00","월세","202603","08","300","40","2002","청운길","202603~202702","신규","-","","","단독다가구"
"139","강원특별자치도 춘천시 효자동","1**","8m미만","30.00","월세","202603","07","300","40","2002","청운길","202603~202702","신규","-","","","단독다가구"
"140","강원특별자치도 춘천시 효자동","1**","8m미만","26.00","월세","202603","07","300","40","2002","청운길","202603~202702","신규","-","","","단독다가구"
"141","강원특별자치도 춘천시 효자동","6**","12m미만","56.22","월세","202603","07","500","55","2016","춘천로68번길","202603~202803","신규","-","","","단독다가구"
"142","강원특별자치도 춘천시 효자동","1**","8m미만","30.00","월세","202603","06","200","33","1994","도화길","202603~202703","신규","-","","","단독다가구"
"143","강원특별자치도 춘천시 효자동","1**","8m미만","28.00","월세","202603","06","200","30","2002","청운길","-","-","-","","","단독다가구"
"144","강원특별자치도 춘천시 효자동","1**","8m미만","15.00","월세","202603","06","100","32","2002","백령로61번길","202603~202703","신규","-","","","단독다가구"
"145","강원특별자치도 춘천시 효자동","6**","25m미만","112.43","월세","202603","04","500","60","1992","백령로","202603~202803","신규","-","","","단독다가구"
"146","강원특별자치도 춘천시 효자동","7**","8m미만","31.00","월세","202603","03","300","37","2004","성심로","202603~202703","신규","-","","","단독다가구"
"147","강원특별자치도 춘천시 효자동","7**","12m미만","80.00","월세","202603","03","500","55","1991","둥지길","202603~202703","신규","-","","","단독다가구"
"148","강원특별자치도 춘천시 효자동","7**","12m미만","80.00","월세","202603","03","500","55","1991","둥지길","202603~202703","신규","-","","","단독다가구"
"149","강원특별자치도 춘천시 효자동","1**","8m미만","23.00","월세","202603","03","150","30","2017","백령로61번길","202603~202802","신규","-","","","단독다가구"
"150","강원특별자치도 춘천시 효자동","6**","12m미만","30.00","월세","202603","03","300","36","2004","춘천로204번길","202603~202703","신규","-","","","단독다가구"
"151","강원특별자치도 춘천시 효자동","1**","8m미만","35.00","월세","202603","02","500","58","2018","법원뒷길8번길","202603~202702","신규","-","","","단독다가구"
"152","강원특별자치도 춘천시 효자동","1**","8m미만","28.00","월세","202603","02","300","40","2002","청운길","202603~202702","신규","-","","","단독다가구"
"153","강원특별자치도 춘천시 효자동","7**","12m미만","236.34","월세","202603","02","200","30","2010","성심로35번길","202603~202703","신규","-","","","단독다가구"
"154","강원특별자치도 춘천시 효자동","1**","8m미만","28.00","월세","202603","01","300","40","","청운길","202603~202702","신규","-","","","단독다가구"
"155","강원특별자치도 춘천시 효자동","1**","8m미만","26.00","월세","202603","01","300","40","2002","청운길","202603~202703","신규","-","","","단독다가구"
"156","강원특별자치도 춘천시 효자동","7**","8m미만","224.30","월세","202602","28","200","29","1995","백령로","202602~202606","신규","-","","","단독다가구"
"157","강원특별자치도 춘천시 효자동","1**","8m미만","25.00","월세","202602","28","300","37","2002","청운길","202603~202702","신규","-","","","단독다가구"
"158","강원특별자치도 춘천시 효자동","7**","12m미만","33.00","월세","202602","28","500","45","2015","공지로297번길","202602~202702","신규","-","","","단독다가구"
"159","강원특별자치도 춘천시 효자동","3**","12m미만","26.00","월세","202602","28","200","42","1995","공지로242번길","202602~202702","신규","-","","","단독다가구"
"160","강원특별자치도 춘천시 효자동","1*","25m미만","26.00","월세","202602","28","500","30","2018","백령로","202602~202702","신규","-","","","단독다가구"
"161","강원특별자치도 춘천시 효자동","7**","8m미만","27.00","월세","202602","28","200","30","","백령로107번길","-","-","-","","","단독다가구"
"162","강원특별자치도 춘천시 효자동","1**","8m미만","16.53","월세","202602","28","200","32","2017","백령로61번길","202602~202702","신규","-","","","단독다가구"
"163","강원특별자치도 춘천시 효자동","5**","8m미만","48.00","월세","202602","28","500","55","2015","도화길6번길","202603~202803","신규","-","","","단독다가구"
"164","강원특별자치도 춘천시 효자동","1**","8m미만","25.00","월세","202602","27","200","38","1997","백령로25번길","202603~202703","신규","-","","","단독다가구"
"165","강원특별자치도 춘천시 효자동","4**","8m미만","27.00","월세","202602","27","300","45","2016","효자로92번길","202602~202702","신규","-","","","단독다가구"
"166","강원특별자치도 춘천시 효자동","1**","12m미만","26.00","월세","202602","27","300","37","2015","둥지길","202602~202702","갱신","-","300","37","단독다가구"
"167","강원특별자치도 춘천시 효자동","7**","8m미만","19.80","월세","202602","27","200","35","1993","백령로","202603~202702","신규","-","","","단독다가구"
"168","강원특별자치도 춘천시 효자동","1**","25m미만","24.00","월세","202602","27","200","30","1996","백령로","-","-","-","","","단독다가구"
"169","강원특별자치도 춘천시 효자동","1**","8m미만","18.87","월세","202602","26","300","40","2002","청운길","202603~202702","신규","-","","","단독다가구"
"170","강원특별자치도 춘천시 효자동","6**","12m미만","28.00","월세","202602","26","300","40","2018","두하길","202602~202702","신규","-","","","단독다가구"
"171","강원특별자치도 춘천시 효자동","1**","8m미만","25.00","월세","202602","26","200","36","1997","백령로25번길","202602~202702","신규","-","","","단독다가구"
"172","강원특별자치도 춘천시 효자동","1**","8m미만","30.00","월세","202602","26","500","48","2017","백령로23번길","202602~202702","신규","-","","","단독다가구"
"173","강원특별자치도 춘천시 효자동","7**","12m미만","28.00","월세","202602","26","300","42","2016","춘천로296번길","202603~202703","신규","-","","","단독다가구"
"174","강원특별자치도 춘천시 효자동","7**","25m이상","33.00","월세","202602","26","100","50","2015","춘천로","202602~202702","신규","-","","","단독다가구"
"175","강원특별자치도 춘천시 효자동","3**","8m미만","30.00","월세","202602","26","500","45","2016","청운길","202602~202702","신규","-","","","단독다가구"
